index,logits
0,"[0.9347819685935974, 0.9990384578704834, 0.00030195002909749746, 0.0004550499434117228]"
1,"[0.9996399879455566, 0.9774652719497681, 2.389728024354554e-07, 0.9997572302818298]"
2,"[0.9999833106994629, 0.0003971907717641443, 7.9398974776268e-05, 0.00023561944544781]"
3,"[0.4726491868495941, 0.22496870160102844, 0.7379067540168762, 3.953891436481172e-08]"
4,"[0.3353579640388489, 0.00011602617450989783, 0.9996840953826904, 0.0001615803048480302]"
5,"[0.960004448890686, 0.6620950102806091, 5.745147973357234e-06, 0.3019861876964569]"
6,"[1.0193320122198202e-05, 0.05691371485590935, 0.9999986886978149, 0.00037049269303679466]"
7,"[0.038766175508499146, 0.04478783905506134, 0.9904810786247253, 3.2727537472965196e-05]"
8,"[0.9966678023338318, 0.9327327013015747, 7.251790066220565e-07, 0.4062056839466095]"
9,"[0.24632741510868073, 0.8013246059417725, 6.402918728554141e-08, 0.9999905824661255]"
10,"[0.0005330642452463508, 0.9982384443283081, 0.00025963285588659346, 0.08074746280908585]"
11,"[0.8017266392707825, 0.14825154840946198, 3.7636803540408437e-07, 0.9992456436157227]"
12,"[0.0068081957288086414, 0.0003090882673859596, 0.7767654657363892, 0.999697208404541]"
13,"[0.020283566787838936, 0.013331619091331959, 1.8965970411954913e-06, 0.9999986886978149]"
14,"[0.0333208404481411, 0.01020854339003563, 0.49907082319259644, 0.9992733597755432]"
15,"[0.024171428754925728, 0.00181393267121166, 6.35612741461955e-05, 0.9999887943267822]"
16,"[0.0007614531205035746, 0.0016441261395812035, 0.0007609294843859971, 0.9999973773956299]"
17,"[0.05977332219481468, 0.08328334987163544, 9.579854122421239e-06, 0.9998893737792969]"
18,"[0.027185950428247452, 0.39273303747177124, 0.0019013735000044107, 0.9998369216918945]"
19,"[0.8997454047203064, 0.9410524368286133, 1.3295890610720562e-08, 0.9063185453414917]"
20,"[0.17569196224212646, 0.22794054448604584, 0.0003063408948946744, 0.9408954381942749]"
21,"[0.9993757605552673, 0.0007303178426809609, 0.0022663557901978493, 0.8507461547851562]"
22,"[0.000968000793363899, 0.6334002017974854, 0.9973568916320801, 4.080898634128971e-06]"
23,"[0.9866241216659546, 3.0188939490471967e-05, 0.0036969799548387527, 0.9991426467895508]"
24,"[0.9999415874481201, 0.0036746577825397253, 6.27854751655832e-05, 0.2203425168991089]"
25,"[0.0006970801623538136, 0.9999252557754517, 5.197952123126015e-05, 0.03875907137989998]"
26,"[0.006530788727104664, 0.04089963436126709, 0.9868883490562439, 0.7501646876335144]"
27,"[0.0009515551500953734, 0.0004043184162583202, 0.14558102190494537, 0.9997195601463318]"
28,"[0.00013012670387979597, 0.00031186299747787416, 0.4149759113788605, 0.9999611377716064]"
29,"[0.0001139335217885673, 0.0002388225111644715, 0.9999884366989136, 0.0006313728517852724]"
30,"[0.9996399879455566, 0.9774652719497681, 2.389728024354554e-07, 0.9997572302818298]"
31,"[0.029480118304491043, 0.9930279850959778, 0.008175307884812355, 0.0010369763476774096]"
32,"[0.02491717040538788, 0.0006950300303287804, 1.9017306840396486e-05, 0.9999984502792358]"
33,"[0.26739004254341125, 4.694593735621311e-05, 0.004322816152125597, 0.9998414516448975]"
34,"[0.020283566787838936, 0.013331619091331959, 1.8965970411954913e-06, 0.9999986886978149]"
35,"[0.14830388128757477, 0.9999860525131226, 5.58827878194279e-07, 8.267120574600995e-05]"
36,"[0.9147129058837891, 0.9997832179069519, 3.355195872245531e-07, 0.0013610069872811437]"
37,"[0.6339818239212036, 0.9999828338623047, 2.4773009499767795e-05, 0.0003277473442722112]"
38,"[0.9960694313049316, 0.9990772008895874, 2.1027094732062324e-08, 0.0017943530110642314]"
39,"[0.8543320894241333, 0.7235139608383179, 1.276823240914382e-05, 0.3386450707912445]"
40,"[0.9871932864189148, 0.2940768301486969, 1.4168317648000084e-06, 0.033518481999635696]"
41,"[0.9996358156204224, 0.28323641419410706, 5.080151410652434e-08, 0.2521895170211792]"
42,"[0.9906454086303711, 0.7751346826553345, 1.7758437024895102e-05, 0.08816109597682953]"
43,"[4.0605136746307835e-06, 0.9999767541885376, 7.503545930376276e-05, 0.0010070992866531014]"
44,"[8.248936501331627e-05, 0.9999974966049194, 9.799972758628428e-06, 0.0014474106719717383]"
45,"[4.853485370404087e-05, 0.9999593496322632, 0.0004143563855905086, 0.00011684522178256884]"
46,"[9.91166234598495e-05, 0.9999862909317017, 1.210134541906882e-06, 0.03589772433042526]"
47,"[0.7173662185668945, 0.04655398055911064, 1.0020354324069558e-07, 0.9992609620094299]"
48,"[0.9999805688858032, 0.008598734624683857, 0.0030858712270855904, 0.00014411962183658034]"
49,"[0.07365179061889648, 0.9995137453079224, 0.0008426755666732788, 0.0015531989047303796]"
50,"[0.9996399879455566, 0.9774652719497681, 2.389728024354554e-07, 0.9997572302818298]"
51,"[0.003712337464094162, 0.9999560117721558, 1.036005141941132e-05, 0.008049787022173405]"
52,"[0.9996269941329956, 0.14859740436077118, 0.0052924626506865025, 0.00019129134307149798]"
53,"[0.9996399879455566, 0.9774652719497681, 2.389728024354554e-07, 0.9997572302818298]"
54,"[0.7224676012992859, 0.9992493987083435, 2.7874025363416877e-06, 3.852522422675975e-05]"
55,"[0.999638557434082, 0.5367691516876221, 1.2500872799137142e-05, 0.45986443758010864]"
56,"[0.0002577295817900449, 0.9999498128890991, 0.001440550433471799, 0.001967817544937134]"
57,"[0.9909765124320984, 0.08221355080604553, 0.216964453458786, 4.448457389116811e-07]"
58,"[0.3903067409992218, 0.0649178996682167, 1.2665947224377305e-07, 0.9999970197677612]"
59,"[0.995712161064148, 0.691396176815033, 0.0003059976443182677, 0.0008877520449459553]"
