index,logits
0,"[0.9994606375694275, 0.0029939659871160984, 0.0001801488979253918, 0.001109505072236061]"
1,"[0.0010741681326180696, 0.0005100038251839578, 0.9997416138648987, 0.0006259471410885453]"
2,"[0.014715195633471012, 0.997654139995575, 0.0006468247156590223, 0.0002100042038364336]"
3,"[0.9951230883598328, 0.00011948253813898191, 0.1045147180557251, 0.0026064212433993816]"
4,"[0.15930092334747314, 0.0004677128454204649, 0.9070739150047302, 0.012602262198925018]"
5,"[1.0, 7.00579008139357e-08, 8.604746653873008e-06, 0.00011729443212971091]"
6,"[0.9999918937683105, 1.6180327293113805e-05, 2.7397651138016954e-05, 0.0005239791935309768]"
7,"[0.9999966621398926, 0.00020786802633665502, 3.4303438951610588e-06, 0.00023947443696670234]"
8,"[0.9999531507492065, 0.0005184030160307884, 3.7452982724062167e-06, 9.612303983885795e-05]"
9,"[0.044444501399993896, 0.00014362929505296052, 0.9970769882202148, 0.0021388311870396137]"
10,"[0.9998700618743896, 0.012204337865114212, 1.7953461792785674e-05, 0.00045480814878828824]"
11,"[0.00016410827811341733, 7.291139627341181e-05, 6.691543967463076e-05, 0.9999984502792358]"
12,"[0.0018403794383630157, 0.0004960263031534851, 6.782611308153719e-05, 0.99996018409729]"
13,"[0.0009974188869819045, 0.00026398224872536957, 0.00019312032964080572, 0.9999649524688721]"
14,"[0.00022495578741654754, 0.004077133256942034, 8.781774340604898e-06, 0.9999502897262573]"
15,"[0.0009577405289746821, 0.0002841608948074281, 0.00016116286860778928, 0.9999772310256958]"
16,"[0.002048820024356246, 0.0005314035224728286, 8.676970173837617e-05, 0.9999613761901855]"
17,"[0.02276482619345188, 0.00013000740727875382, 0.00010342145105823874, 0.9999499320983887]"
18,"[0.00023771887936163694, 0.0001343961776001379, 6.0611972003243864e-05, 0.9999960660934448]"
19,"[0.001771014416590333, 0.002697519026696682, 0.00015358200471382588, 0.9998101592063904]"
20,"[0.00045721567585133016, 0.0003547223168425262, 5.740560300182551e-05, 0.9999855756759644]"
21,"[0.0008873373153619468, 7.866042869864032e-05, 0.0008973132935352623, 0.9999899864196777]"
22,"[0.0002410681772744283, 5.903450437472202e-05, 5.506007437361404e-05, 0.9999980926513672]"
23,"[0.00164487783331424, 0.0002515263622626662, 0.00011498467210913077, 0.9999138116836548]"
24,"[4.25292419095058e-05, 1.3621780453831889e-05, 8.864757546689361e-06, 0.9999997615814209]"
25,"[0.0013042351929470897, 0.00015220389468595386, 0.0002194077242165804, 0.9999853372573853]"
