index,logits
247,"[0.00034965871600434184, 0.000594370358157903, 0.00022317937691695988, 0.9999185800552368]"
360,"[0.9524059891700745, 0.0003994125872850418, 3.338698297739029e-05, 0.9999849796295166]"
163,"[0.0003043259202968329, 0.00037541677011176944, 0.9999582767486572, 0.00025359459687024355]"
609,"[0.0010439372854307294, 0.9999885559082031, 0.0008264441858045757, 8.582025475334376e-05]"
270,"[0.00023092930496204644, 0.999946117401123, 0.00011406255362089723, 0.00018203530635219067]"
175,"[0.999972939491272, 0.00029793858993798494, 0.00010263949661748484, 0.000299873820040375]"
565,"[0.0006581881898455322, 0.9706535339355469, 0.9999899864196777, 2.257280721096322e-05]"
439,"[0.00023531436454504728, 0.0009993246058002114, 0.00023818672343622893, 0.9999274015426636]"
41,"[0.9976685643196106, 0.0008406781707890332, 2.2305748643702827e-05, 0.9995521903038025]"
535,"[0.002778574824333191, 0.00038507688441313803, 0.0001097691201721318, 0.9999599456787109]"
558,"[0.9999791383743286, 0.0037865275517106056, 6.921992462594062e-05, 7.285850733751431e-05]"
518,"[0.00018326344434171915, 0.03162739425897598, 0.00010347560601076111, 0.9999778270721436]"
605,"[0.00031132440199144185, 0.0002989663335029036, 0.999951958656311, 0.00028943971847184]"
307,"[0.9999659061431885, 0.0003629772400017828, 0.00010077376646222547, 0.00016235744988080114]"
422,"[0.9999604225158691, 0.00015149051614571363, 0.0002206008939538151, 0.0001815303839975968]"
114,"[0.00030983000760897994, 0.0006132269627414644, 0.00024273568124044687, 0.9999151229858398]"
437,"[0.00028012736584059894, 0.0005955506931059062, 0.00026957166846841574, 0.9999092817306519]"
274,"[0.9999146461486816, 0.8362650275230408, 6.494004628621042e-05, 6.130091060185805e-05]"
383,"[0.08230883628129959, 0.00040264776907861233, 3.769679460674524e-05, 0.9999831914901733]"
140,"[0.0003636439796537161, 0.0007435079896822572, 0.9999767541885376, 0.00016021213377825916]"
528,"[0.0010174453491345048, 0.0009985346114262938, 0.00010161229874938726, 0.9999669790267944]"
139,"[0.9999629259109497, 0.0002649937232490629, 0.0001586933940416202, 0.00013969680003356189]"
411,"[0.00026115021319128573, 0.000331744464347139, 0.9999552965164185, 0.0003386029857210815]"
171,"[0.0003439208958297968, 0.9999611377716064, 0.0001347635843558237, 0.00014379950880538672]"
495,"[0.00024088415375445038, 0.9999704360961914, 0.000375118397641927, 0.00012256420450285077]"
81,"[0.0002935516240540892, 0.9999576807022095, 0.00015839120896998793, 0.00013144614058546722]"
531,"[0.9999608993530273, 0.0001834141294239089, 0.0001682442962191999, 0.0001843372156145051]"
378,"[9.012973350763787e-06, 0.0017824533861130476, 0.4399123191833496, 0.9813018441200256]"
320,"[0.9999494552612305, 0.00012284349941182882, 0.00018139994062948972, 0.000211769001907669]"
29,"[0.0003448518691584468, 0.000594332639593631, 0.00022742988949175924, 0.9999189376831055]"
548,"[0.9999605417251587, 0.0001774469274096191, 0.00017974121146835387, 0.00017984048463404179]"
430,"[0.00032124537392519414, 0.0005036273505538702, 0.0002724497753661126, 0.9999080896377563]"
250,"[0.0003627465048339218, 0.000575913698412478, 0.000215934996958822, 0.9999167919158936]"
200,"[0.00033334075124002993, 0.000445078156189993, 0.9999641180038452, 0.0002114193921443075]"
66,"[0.00023198637063615024, 0.9999467134475708, 0.00012944369518663734, 0.00015695644833613187]"
5,"[0.0002908377500716597, 0.0017627034103497863, 0.9999839067459106, 0.0001257169496966526]"
49,"[0.9999532699584961, 0.00016675674123689532, 0.0001278505806112662, 0.00021378824021667242]"
201,"[0.999958872795105, 0.0001641004637349397, 0.00016989247524179518, 0.0001967661955859512]"
3,"[0.000302844331599772, 0.00040196397458203137, 0.9999607801437378, 0.00024676258908584714]"
48,"[0.9999592304229736, 0.00018973098485730588, 0.00014538614777848125, 0.0001925118122017011]"
478,"[0.0002632250252645463, 0.9999525547027588, 0.00011826738045783713, 0.00017806030518840998]"
172,"[0.9999877214431763, 0.000499099085573107, 3.7051591789349914e-05, 0.002731848740950227]"
432,"[0.000401378667447716, 0.0006755501963198185, 0.00022207920846994966, 0.9999390840530396]"
279,"[0.0002347482950426638, 0.9999485015869141, 0.00011899635137524456, 0.00018060722504742444]"
1,"[0.0004260841233190149, 0.00029526324942708015, 0.9999653100967407, 0.000285411806544289]"
117,"[0.9999575614929199, 0.00015225615061353892, 0.00017700334137771279, 0.0002006001741392538]"
344,"[0.00015852294745855033, 0.9998959302902222, 4.917620390187949e-05, 0.9868179559707642]"
476,"[0.00016994061297737062, 0.000203040981432423, 0.0013951921137049794, 0.9998059868812561]"
197,"[0.0002931905328296125, 0.00047462352085858583, 0.9999631643295288, 0.00022306005121208727]"
228,"[0.999990701675415, 0.0011850676964968443, 4.3634554458549246e-05, 0.0015416860114783049]"
16,"[0.0003172001743223518, 0.000654218252748251, 0.00022899324540048838, 0.9999194145202637]"
369,"[3.018021561729256e-05, 0.9998348951339722, 0.597757875919342, 0.00034810876240953803]"
243,"[0.9999626874923706, 0.00028159181238152087, 0.00011520834232214838, 0.00017273386765737087]"
46,"[0.004266238771378994, 0.0004469258710741997, 8.348998380824924e-05, 0.9999760389328003]"
355,"[0.9999555349349976, 0.0001474854798289016, 0.00016775843687355518, 0.00020632133237086236]"
35,"[0.9999656677246094, 0.00024029072665143758, 0.00012976638390682638, 0.00020523690909612924]"
167,"[0.0002323046646779403, 0.9999470710754395, 0.00012987680383957922, 0.00015740488015580922]"
433,"[0.0002550258650444448, 0.0007416490116156638, 0.00026200065622106194, 0.9999184608459473]"
462,"[0.00015153299318626523, 0.9921903014183044, 3.4800257708411664e-05, 0.9995346069335938]"
413,"[0.00013639847747981548, 0.0004457556060515344, 0.9999539852142334, 0.0006258863140828907]"
239,"[0.00037348002661019564, 0.0005409574368968606, 0.00024022840079851449, 0.999921441078186]"
468,"[0.04960000142455101, 0.0016541294753551483, 2.5775607355171815e-05, 0.9999759197235107]"
108,"[0.23679032921791077, 0.9999507665634155, 2.5158797143376432e-05, 6.428722554119304e-05]"
583,"[0.0002718610339798033, 0.0004128415894228965, 0.9999581575393677, 0.00025881623150780797]"
106,"[0.9999580383300781, 0.00018567487131804228, 0.00013891745766159147, 0.0001973147882381454]"
611,"[0.0003322752600070089, 0.00042443888378329575, 0.9999628067016602, 0.00021948097855784]"
56,"[0.00022531299327965826, 0.9999492168426514, 0.00012773858907166868, 0.00017528684111312032]"
219,"[0.9965705871582031, 0.0007145003764890134, 4.7837318561505526e-05, 0.9999539852142334]"
440,"[0.9999706745147705, 0.0004650993796531111, 9.135023719863966e-05, 0.00017540590488351882]"
185,"[0.9999817609786987, 0.0004702074802480638, 6.993816350586712e-05, 0.0004883738001808524]"
343,"[0.9999549388885498, 0.00018218273180536926, 0.00012835420784540474, 0.00019948264525737613]"
387,"[0.9925397038459778, 0.00226387195289135, 1.4278748494689353e-05, 0.9998855590820312]"
313,"[0.9999656677246094, 0.00022400892339646816, 0.00010313821258023381, 0.0002788158890325576]"
483,"[0.000253075995715335, 0.9999524354934692, 0.00013383616169448942, 0.00015802567941136658]"
382,"[0.0003094397543463856, 0.9996566772460938, 4.588346564560197e-05, 0.9185910224914551]"
493,"[0.00010508549894439057, 0.9999727010726929, 0.0019732483197003603, 0.0023535217624157667]"
419,"[0.0003105039068032056, 0.0006470340304076672, 0.00026305465144105256, 0.9999240636825562]"
399,"[4.040271232952364e-05, 0.00023894438345450908, 0.9997707009315491, 0.008091751486063004]"
443,"[0.0003036489069927484, 0.0023883043322712183, 0.00013859714090358466, 0.9999591112136841]"
135,"[0.000256579922279343, 0.0005887249135412276, 0.9999692440032959, 0.00024257719633169472]"
601,"[0.0002837642969097942, 0.00027254564338363707, 0.9999477863311768, 0.00034192699240520597]"
424,"[0.00030085028265602887, 0.0006230105645954609, 0.9999696016311646, 0.00018958811415359378]"
533,"[0.9999644756317139, 0.00025445729261264205, 0.00012825291196350008, 0.00018533067486714572]"
127,"[0.9999510049819946, 0.00012979817984160036, 0.00016775653057266027, 0.00021822168491780758]"
539,"[0.0002460434625390917, 0.9999628067016602, 9.061313176061958e-05, 0.0003790987830143422]"
207,"[0.0003033468092326075, 0.00038428057450801134, 0.9999591112136841, 0.00025119108613580465]"
388,"[0.0003696104104164988, 0.9999653100967407, 0.00018878342234529555, 0.02974831499159336]"
385,"[0.0005196417914703488, 0.99998939037323, 4.523529423750006e-05, 0.012035519815981388]"
245,"[0.000322981970384717, 0.0006261559901759028, 0.0002539200067985803, 0.9999241828918457]"
484,"[0.0002352436858927831, 0.9999477863311768, 0.00012550338578876108, 0.00016909459372982383]"
162,"[0.000329813250573352, 0.0003730157040990889, 0.9999594688415527, 0.00023832936130929738]"
574,"[0.0003194574674125761, 0.00046536364243365824, 0.9999641180038452, 0.00021334007033146918]"
43,"[0.9999558925628662, 0.00018158266902901232, 0.00013583464897237718, 0.00019568402785807848]"
526,"[0.00018982328765559942, 0.00298531586304307, 0.0002037210506387055, 0.9999610185623169]"
132,"[0.9999568462371826, 0.00020679341105278581, 0.00012367033923510462, 0.00019312032964080572]"
552,"[0.0008852551691234112, 0.9999867677688599, 5.85156558372546e-05, 0.0009107990772463381]"
536,"[0.9999591112136841, 0.00017281394684687257, 0.00017828558338806033, 0.000178789472556673]"
64,"[0.9999551773071289, 0.00013650204346049577, 0.00020933945779688656, 0.00018842823919840157]"
386,"[0.9999604225158691, 0.00020332206622697413, 0.00014788174303248525, 0.00018296627968084067]"
235,"[0.9999617338180542, 0.00018267062841914594, 0.0001635089865885675, 0.0001951719750650227]"
407,"[0.00026040110969915986, 0.0002436481008771807, 0.9999402761459351, 0.00039473833749070764]"
149,"[0.0003236406482756138, 0.0004117980133742094, 0.9999616146087646, 0.00022711351630277932]"
335,"[0.9999611377716064, 0.00016854729619808495, 0.0001849548425525427, 0.0001897879847092554]"
230,"[0.00044231160427443683, 0.0007926505641080439, 0.00017085355648305267, 0.9999417066574097]"
38,"[0.00043747489689849317, 0.9999669790267944, 0.000131954497192055, 0.00014058745000511408]"
31,"[0.00032616668613627553, 0.0005707297823391855, 0.00023857946507632732, 0.9999122619628906]"
512,"[0.0002606296038720757, 0.0006986160879023373, 0.00026629932108335197, 0.9999165534973145]"
522,"[0.00028398053837008774, 0.0007432865677401423, 0.000242433394305408, 0.9999237060546875]"
350,"[0.9999597072601318, 0.0001727916969684884, 0.00015594072465319186, 0.0002033358468906954]"
470,"[0.00022939337941352278, 0.0005552012589760125, 0.00038537965156137943, 0.999903678894043]"
505,"[0.0002503888972569257, 0.9999439716339111, 4.97414221172221e-05, 0.0718458741903305]"
418,"[0.00012261973461136222, 0.00249011954292655, 0.9999778270721436, 0.00020391770522110164]"
597,"[0.7042354941368103, 0.9999926090240479, 0.00011295861622784287, 0.00014002821990288794]"
240,"[0.00028018077136948705, 0.0006629630224779248, 0.0002542744332458824, 0.9999157190322876]"
598,"[0.00026883374084718525, 0.9999525547027588, 0.00012759787205141038, 0.00015702292148489505]"
21,"[0.0006127826636657119, 0.9999833106994629, 3.5020315408473834e-05, 0.007881689816713333]"
254,"[0.0003882039454765618, 0.0006425715982913971, 0.00019137709750793874, 0.9999237060546875]"
242,"[0.00035151431802660227, 0.0005701801273971796, 0.00023779440380167216, 0.9999198913574219]"
384,"[0.00030409792088903487, 0.9999724626541138, 7.514100434491411e-05, 0.000644957646727562]"
404,"[0.0002694159629754722, 0.00034351591602899134, 0.9999542236328125, 0.0003022973833139986]"
