index,logits
452,"[0.003931799437850714, 0.007594576571136713, 0.003966566640883684, 0.9988147020339966]"
636,"[0.0019231901969760656, 0.011705403216183186, 0.9993777275085449, 0.0035343780182302]"
138,"[0.9886640906333923, 0.9968869090080261, 0.0016614666674286127, 0.0007549079600721598]"
244,"[0.0032672148663550615, 0.022714344784617424, 0.0025994465686380863, 0.9992094039916992]"
89,"[0.0026641099248081446, 0.9993264675140381, 0.02118130773305893, 0.0012467169435694814]"
625,"[0.002246905118227005, 0.010880895890295506, 0.99944669008255, 0.0035543646663427353]"
421,"[0.0022654212079942226, 0.16656701266765594, 0.002253254409879446, 0.9993247985839844]"
87,"[0.01958073303103447, 0.9994730353355408, 0.00502736633643508, 0.0008186310296878219]"
258,"[0.005143139977008104, 0.008152835071086884, 0.003339397720992565, 0.9990212917327881]"
540,"[0.9990828037261963, 0.0031871311366558075, 0.00425269640982151, 0.0017304782522842288]"
351,"[0.0032813886646181345, 0.9991752505302429, 0.010562382638454437, 0.001270477892830968]"
372,"[0.9989429116249084, 0.00187202962115407, 0.004658884834498167, 0.002689468441531062]"
88,"[0.002788529498502612, 0.9992384910583496, 0.011935473419725895, 0.0015110140666365623]"
102,"[0.002332833129912615, 0.9996230602264404, 0.09841225296258926, 0.0017124749720096588]"
189,"[0.998907208442688, 0.0020157459657639265, 0.010029026307165623, 0.025030937045812607]"
163,"[0.022932197898626328, 0.004834392573684454, 0.0025194354820996523, 0.9992357492446899]"
287,"[0.0038114984054118395, 0.006189390085637569, 0.004567908588796854, 0.9986739158630371]"
216,"[0.9990046620368958, 0.0012835516827180982, 0.0018323096446692944, 0.01278307382017374]"
385,"[0.9974494576454163, 0.017598329111933708, 0.00022878526942804456, 0.7159059643745422]"
431,"[0.9996997117996216, 0.0033161102328449488, 0.06447592377662659, 0.01819433458149433]"
374,"[0.9984867572784424, 0.000972390582319349, 0.16558022797107697, 0.0015247835544869304]"
318,"[0.004286410752683878, 0.9991441965103149, 0.009323245845735073, 0.0010363429319113493]"
520,"[0.0026308379601687193, 0.008024506270885468, 0.9993526339530945, 0.0034513729624450207]"
146,"[0.9993141889572144, 0.009087630547583103, 0.001231474569067359, 0.0024213320575654507]"
209,"[0.9987829327583313, 0.002034495584666729, 0.0026443563401699066, 0.002983430400490761]"
566,"[0.0027796002104878426, 0.9992094039916992, 0.009551772847771645, 0.0017450815066695213]"
165,"[0.9988075494766235, 0.0012415016535669565, 0.013629154302179813, 0.0017682876205071807]"
546,"[0.002910338807851076, 0.00805832352489233, 0.9993780851364136, 0.003056054003536701]"
311,"[0.0029545407742261887, 0.9991582632064819, 0.010416205041110516, 0.0014085443690419197]"
335,"[0.002733792643994093, 0.9992997646331787, 0.009101239033043385, 0.002133488655090332]"
417,"[0.0013450237456709146, 0.7505898475646973, 0.9994156360626221, 0.0009007328189909458]"
338,"[0.004392232280224562, 0.9995273351669312, 0.006682426668703556, 0.0030466499738395214]"
332,"[0.0027938212733715773, 0.9992275238037109, 0.01005357876420021, 0.001705479808151722]"
495,"[0.003923702985048294, 0.010476132854819298, 0.0035164824221283197, 0.999001681804657]"
215,"[0.9992437362670898, 0.002052813535556197, 0.0010825383942574263, 0.03345680609345436]"
13,"[0.0039489478804171085, 0.014749296940863132, 0.0031458267476409674, 0.9991374015808105]"
219,"[0.9993946552276611, 0.006228121463209391, 0.00198937626555562, 0.0025914700236171484]"
23,"[0.0020749487448483706, 0.9961047172546387, 0.0011963784927502275, 0.9257639050483704]"
403,"[0.004094428848475218, 0.006339122541248798, 0.004290116019546986, 0.9987384676933289]"
267,"[0.003942623268812895, 0.006434144917875528, 0.0044709001667797565, 0.99875807762146]"
474,"[0.0037168674170970917, 0.009494148194789886, 0.0037397665437310934, 0.9989734888076782]"
525,"[0.003984530922025442, 0.008642722852528095, 0.003501324914395809, 0.9988608360290527]"
262,"[0.003610646817833185, 0.00608195411041379, 0.005008097738027573, 0.998656153678894]"
236,"[0.5020877122879028, 0.9995396137237549, 0.0014678227016702294, 0.0018516426207497716]"
616,"[0.0026279320009052753, 0.007813740521669388, 0.9993146657943726, 0.0033021005801856518]"
426,"[0.002432145643979311, 0.9993638396263123, 0.0024278145283460617, 0.3082222640514374]"
524,"[0.004250585101544857, 0.006351079326122999, 0.004094827454537153, 0.9987398982048035]"
129,"[0.0041094571352005005, 0.005423847585916519, 0.004736236296594143, 0.998624324798584]"
72,"[0.003418354317545891, 0.9991683959960938, 0.009981817565858364, 0.0012686930131167173]"
454,"[0.0026353010907769203, 0.9993957281112671, 0.009718062356114388, 0.002627287060022354]"
586,"[0.0027302021626383066, 0.9991851449012756, 0.010140936821699142, 0.00163662014529109]"
161,"[0.9995480179786682, 0.0037909389939159155, 0.001873923116363585, 0.008767000399529934]"
584,"[0.0005953020881861448, 0.9856749176979065, 0.9940980672836304, 0.0011946111917495728]"
127,"[0.999488353729248, 0.008942107670009136, 0.002954962430521846, 0.0017775173764675856]"
482,"[0.0032409934792667627, 0.014118271879851818, 0.003454022342339158, 0.9990922212600708]"
333,"[0.004467841237783432, 0.9992733597755432, 0.007564254105091095, 0.0013967860722914338]"
436,"[0.002340247156098485, 0.008180958218872547, 0.9992865920066833, 0.003471669042482972]"
281,"[0.9847991466522217, 0.0014182546874508262, 0.0013292275834828615, 0.9983067512512207]"
418,"[0.002330624498426914, 0.007967205718159676, 0.9992762207984924, 0.003534685354679823]"
545,"[0.9994499087333679, 0.015542333945631981, 0.0015753456391394138, 0.0015256324550136924]"
564,"[0.0025379525031894445, 0.9992948770523071, 0.02123284339904785, 0.001280608936212957]"
518,"[0.002312939614057541, 0.9995017051696777, 0.007710025180131197, 0.0053385342471301556]"
269,"[0.003926296252757311, 0.005881450138986111, 0.004748930223286152, 0.998687207698822]"
231,"[0.9996033310890198, 0.022215938195586205, 0.002792301820591092, 0.001262569217942655]"
352,"[0.003125930204987526, 0.9993972778320312, 0.01002434454858303, 0.002068816451355815]"
210,"[0.005588281899690628, 0.004203073680400848, 0.006752283312380314, 0.9986520409584045]"
22,"[0.0023064513225108385, 0.996946394443512, 0.0011175930267199874, 0.8971114158630371]"
315,"[0.0028436952270567417, 0.9993448853492737, 0.009541943669319153, 0.0021403131540864706]"
107,"[0.002901659347116947, 0.9992274045944214, 0.01368489395827055, 0.0012976230354979634]"
378,"[0.9986628293991089, 0.0008891916368156672, 0.01036757417023182, 0.0037737584207206964]"
17,"[0.0022437709849327803, 0.9995027780532837, 0.004223411902785301, 0.013269023969769478]"
37,"[0.0025796880945563316, 0.05957846716046333, 0.002314388519152999, 0.9992952346801758]"
621,"[0.002233424922451377, 0.008798138238489628, 0.9992917776107788, 0.0033939755521714687]"
229,"[0.9996867179870605, 0.29416483640670776, 0.000545620801858604, 0.0031916985753923655]"
243,"[0.004109667614102364, 0.007356173824518919, 0.003839663229882717, 0.9988226294517517]"
137,"[0.9996390342712402, 0.2373889535665512, 0.0010902310023084283, 0.001086043193936348]"
188,"[0.9985576272010803, 0.00032900646328926086, 0.006699605844914913, 0.2398766130208969]"
83,"[0.0027856617234647274, 0.9991425275802612, 0.01250701304525137, 0.0013006230583414435]"
450,"[0.003965939860790968, 0.006263835821300745, 0.004446348175406456, 0.9987145662307739]"
142,"[0.007316295988857746, 0.9994117021560669, 0.004554550629109144, 0.0017707430524751544]"
570,"[0.0037654871121048927, 0.9994245767593384, 0.014041977003216743, 0.0014509167522192001]"
467,"[0.003246886422857642, 0.00678181042894721, 0.005086133256554604, 0.9986388087272644]"
221,"[0.9988079071044922, 0.0017442046664655209, 0.005628263112157583, 0.002162956865504384]"
74,"[0.002594939200207591, 0.9992924928665161, 0.008332273922860622, 0.0024562038015574217]"
412,"[0.004460572265088558, 0.0072698150761425495, 0.003902978263795376, 0.9989185333251953]"
484,"[0.000847895338665694, 0.9119418263435364, 0.004336279816925526, 0.9964529275894165]"
38,"[0.0026157619431614876, 0.05608224496245384, 0.0023400033824145794, 0.9992896318435669]"
245,"[0.004366329405456781, 0.005627283826470375, 0.004314374644309282, 0.9986695051193237]"
139,"[0.9964278340339661, 0.9931469559669495, 0.0005549980560317636, 0.0077561489306390285]"
415,"[0.003605992067605257, 0.0059164767153561115, 0.005747300107032061, 0.9986294507980347]"
384,"[0.9995580315589905, 0.03507485240697861, 0.0011995077366009355, 0.0014527991879731417]"
473,"[0.001499223057180643, 0.6894450187683105, 0.001920338487252593, 0.9985451698303223]"
211,"[0.9988250136375427, 0.00160873681306839, 0.0029907694552093744, 0.0038594750221818686]"
628,"[0.0037318977992981672, 0.022431615740060806, 0.004406164400279522, 0.9992891550064087]"
60,"[0.0028049892280250788, 0.9992953538894653, 0.008306444622576237, 0.0022208187729120255]"
359,"[0.0048801046796143055, 0.9994291663169861, 0.006237474735826254, 0.0020674250554293394]"
624,"[0.006450476124882698, 0.007969584316015244, 0.9985435009002686, 0.02696208469569683]"
304,"[0.9994851350784302, 0.4114300608634949, 0.0006245875847525895, 0.0011806981638073921]"
90,"[0.0027866011951118708, 0.999220609664917, 0.010944463312625885, 0.0015808278694748878]"
27,"[0.003525183303281665, 0.008163241669535637, 0.004077499266713858, 0.9987863898277283]"
65,"[0.0035073943436145782, 0.9993236064910889, 0.009410726837813854, 0.0016308974009007215]"
273,"[0.003999548498541117, 0.007030318956822157, 0.004025137983262539, 0.9987537860870361]"
66,"[0.0741989016532898, 0.977108895778656, 0.9926213026046753, 0.00010820988973136991]"
207,"[0.9992558360099792, 0.004593741614371538, 0.002490794751793146, 0.0021057953126728535]"
398,"[0.004674030002206564, 0.9994863271713257, 0.008400702849030495, 0.0019346927292644978]"
602,"[0.9990062117576599, 0.0010215440997853875, 0.013044728897511959, 0.0028439953457564116]"
521,"[0.003891573753207922, 0.007558772340416908, 0.004073049407452345, 0.9988150596618652]"
254,"[0.0038240060675889254, 0.007820945233106613, 0.0038376336451619864, 0.998786985874176]"
468,"[0.002667435212060809, 0.9993577599525452, 0.00894778873771429, 0.002481885952875018]"
85,"[0.002753478940576315, 0.9991540908813477, 0.015055670402944088, 0.0011686182115226984]"
395,"[0.9988296627998352, 0.002258406952023506, 0.002810167847201228, 0.0026564227882772684]"
84,"[0.9810885190963745, 0.000169942548382096, 0.940365731716156, 0.004651159048080444]"
463,"[0.002705632010474801, 0.9992358684539795, 0.010182073339819908, 0.0017769698752090335]"
34,"[0.001750010997056961, 0.9362385869026184, 0.0014369457494467497, 0.9948491454124451]"
432,"[0.001926455763168633, 0.9993504881858826, 0.05445248261094093, 0.0011387059930711985]"
466,"[0.0026141153648495674, 0.9995449185371399, 0.004333178512752056, 0.012132445350289345]"
400,"[0.0020980751141905785, 0.9993904829025269, 0.09826961159706116, 0.000888840586412698]"
630,"[0.002442015800625086, 0.010457247495651245, 0.99941086769104, 0.003015280468389392]"
569,"[0.02268177829682827, 0.9996285438537598, 0.005947048310190439, 0.0010344883194193244]"
508,"[0.0024033684749156237, 0.9995354413986206, 0.006778576876968145, 0.006744749378412962]"
97,"[0.0028550862334668636, 0.9994908571243286, 0.04744487628340721, 0.0011016028001904488]"
308,"[0.002748956438153982, 0.9991955161094666, 0.008706501685082912, 0.0018470645882189274]"
334,"[0.2928679883480072, 0.9996238946914673, 0.006478026509284973, 0.0007481281063519418]"
36,"[0.9949207901954651, 0.9953057169914246, 0.000704560661688447, 0.004055396653711796]"
250,"[0.0032488685101270676, 0.021780770272016525, 0.0026701041497290134, 0.9992026686668396]"
121,"[0.998944103717804, 0.0028588466811925173, 0.0018105453345924616, 0.003302927827462554]"
192,"[0.0021423997823148966, 0.00790171604603529, 0.9992700219154358, 0.004007711540907621]"
610,"[0.013275716453790665, 0.0038205559831112623, 0.9992187023162842, 0.0030380534008145332]"
320,"[0.9990047812461853, 0.0012587065575644374, 0.05186263099312782, 0.001041168230585754]"
257,"[0.003809881629422307, 0.008444936014711857, 0.003684509778395295, 0.9988378882408142]"
613,"[0.9976075887680054, 0.5528069138526917, 7.836558506824076e-05, 0.18624036014080048]"
162,"[0.005721152760088444, 0.00737855164334178, 0.004039335530251265, 0.9990422129631042]"
367,"[0.9989707469940186, 0.002438404830172658, 0.004425946157425642, 0.001835252856835723]"
131,"[0.004137856885790825, 0.005630070343613625, 0.004676470533013344, 0.9986550807952881]"
563,"[0.9987357258796692, 0.0010434113210067153, 0.04857802763581276, 0.0011220392771065235]"
357,"[0.9989985823631287, 0.002086726715788245, 0.003302962053567171, 0.002933573443442583]"
501,"[0.0022411560639739037, 0.9995362758636475, 0.004212122410535812, 0.014984403736889362]"
555,"[0.02944718301296234, 0.008052509278059006, 0.9996839761734009, 0.0009319506352767348]"
176,"[0.004053311422467232, 0.005226009525358677, 0.004922968335449696, 0.998590886592865]"
477,"[0.0040056523866951466, 0.0056784250773489475, 0.004676410462707281, 0.9986433386802673]"
0,"[0.003897772403433919, 0.009924791753292084, 0.0033850264735519886, 0.9989645481109619]"
100,"[0.00279121077619493, 0.9992411136627197, 0.010320313274860382, 0.0016974417958408594]"
11,"[0.0027368508744984865, 0.9993896484375, 0.008276982232928276, 0.002771678613498807]"
368,"[0.9990707039833069, 0.0026543871499598026, 0.0029786170925945044, 0.00261623109690845]"
143,"[0.003557794727385044, 0.010137228295207024, 0.003960623871535063, 0.9990009665489197]"
559,"[0.0038958608638495207, 0.9989829659461975, 0.011296411044895649, 0.24805039167404175]"
561,"[0.018424946814775467, 0.9995121955871582, 0.009368418715894222, 0.0005987985641695559]"
217,"[0.4021441638469696, 0.0020208756905049086, 0.0022460725158452988, 0.9985792636871338]"
344,"[0.0019459372851997614, 0.024390073493123055, 0.999545156955719, 0.003002018667757511]"
