index,logits
0,"[0.9999980926513672, 3.2441657822346315e-05, 1.4854976143396925e-05, 2.638311343616806e-05]"
1,"[0.999800980091095, 0.0010264971060678363, 0.0001406940573360771, 0.0001633567298995331]"
2,"[0.9999765157699585, 0.0003013253735844046, 0.0013256927486509085, 7.4053714342881e-05]"
3,"[0.9999884366989136, 0.0002781038638204336, 0.00011565093882381916, 0.00026998831890523434]"
4,"[0.9999040365219116, 0.00016391108511015773, 0.00044541366514749825, 0.00015851674834266305]"
5,"[0.9993239641189575, 0.0007976472261361778, 0.005066615995019674, 0.0007055168389342725]"
6,"[0.9999995231628418, 0.0008278660825453699, 6.64719550513837e-07, 1.7238327927771024e-05]"
7,"[0.001804245519451797, 0.9998329877853394, 0.0002486730518285185, 0.001258660340681672]"
8,"[0.0021898304112255573, 0.0034598573110997677, 0.9996668100357056, 0.00020563590805977583]"
9,"[0.30627375841140747, 0.0002032683987636119, 0.994909942150116, 0.00028705349541269243]"
10,"[0.11027377098798752, 0.0002672783739399165, 0.9996626377105713, 3.7310288462322205e-05]"
11,"[0.000586985785048455, 0.9998496770858765, 0.0003739018284250051, 0.00017860376101452857]"
12,"[0.999589741230011, 0.000313122000079602, 0.0003037050482816994, 0.005270830355584621]"
13,"[0.0026688307989388704, 0.00021894776728004217, 2.07284956559306e-05, 0.9999911785125732]"
14,"[4.848364187637344e-05, 0.9999983310699463, 4.5170589146437123e-05, 6.94822083460167e-05]"
15,"[0.00019920876366086304, 3.061612005694769e-05, 4.3389653001213446e-05, 0.9999994039535522]"
16,"[0.00018134994024876505, 1.9715147573151626e-05, 8.202321737371676e-07, 1.0]"
17,"[0.0001342211035080254, 5.8012451518152375e-06, 2.620166469569085e-06, 1.0]"
18,"[0.00010637346713338047, 7.04529884387739e-05, 1.7840289729065262e-05, 0.9999951124191284]"
19,"[0.00014905094576533884, 0.00020652779494412243, 6.490061059594154e-05, 0.9999536275863647]"
20,"[0.00013911550922784954, 6.319912063190714e-05, 0.9230615496635437, 0.7595666646957397]"
21,"[5.909099490963854e-05, 1.0335480510548223e-05, 2.5229637685697526e-06, 1.0]"
22,"[0.0001069143763743341, 5.120386049384251e-05, 2.7421332561061718e-05, 0.9999929666519165]"
23,"[0.003643244504928589, 0.006093396805226803, 0.002310994081199169, 0.9965580105781555]"
24,"[0.0002662731858436018, 0.00020218745339661837, 6.404809391824529e-05, 0.9999756813049316]"
25,"[0.0006803390569984913, 0.0002684710780158639, 0.00021141192701179534, 0.999974250793457]"
26,"[1.7790796846384183e-05, 0.013210595585405827, 0.5262143015861511, 0.2928900718688965]"
27,"[0.9999927282333374, 0.0001278314448427409, 0.00016144185792654753, 0.0001772169634932652]"
28,"[0.00022743575391359627, 0.00020038607181049883, 0.9999600648880005, 0.0013350180815905333]"
29,"[0.0001054847743944265, 0.9975505471229553, 1.422262084815884e-05, 0.6149091720581055]"
30,"[0.00015764085401315242, 5.6973673054017127e-05, 0.9999958276748657, 0.0003994807484559715]"
31,"[0.0013742527225986123, 0.0042572724632918835, 0.0011284389765933156, 0.9988411068916321]"
32,"[4.074820753885433e-05, 0.9999992847442627, 1.3094487258058507e-05, 0.0001161555846920237]"
33,"[0.0017010364681482315, 0.0038509618025273085, 0.0010699251433834434, 0.9990511536598206]"
34,"[3.9972255763132125e-05, 0.9999997615814209, 8.03305647423258e-06, 1.9540992070687935e-05]"
35,"[0.2081475406885147, 0.0014588645426556468, 0.994175136089325, 6.189855048432946e-05]"
36,"[0.9999991655349731, 1.1848662325064652e-05, 2.896684918596293e-06, 2.7446345484349877e-05]"
37,"[5.0935665058204904e-05, 0.999996542930603, 2.1179190298425965e-05, 8.47748560772743e-06]"
38,"[2.616807250888087e-05, 0.9999992847442627, 2.1075387849123217e-05, 4.933660966344178e-05]"
39,"[5.0600108806975186e-05, 0.9999935626983643, 2.0024748664582148e-05, 0.0001225034357048571]"
