index,logits
0,"[0.9989770650863647, 0.019830601289868355, 0.005121792200952768, 0.0043278844095766544]"
1,"[0.8965736031532288, 0.0009820767445489764, 0.7596190571784973, 0.0014059881214052439]"
2,"[0.21666006743907928, 0.0011987157631665468, 0.9822007417678833, 0.0020784896332770586]"
3,"[0.4322502017021179, 0.912266194820404, 0.00013824972847942263, 0.0350615493953228]"
4,"[0.9979897737503052, 0.0025072155985981226, 0.015155441127717495, 0.004592511802911758]"
5,"[0.9898589253425598, 0.002793586114421487, 0.003307963954284787, 0.16356904804706573]"
6,"[0.013926849700510502, 0.03680657967925072, 0.007170605473220348, 0.998764157295227]"
7,"[0.9989230036735535, 0.007213372737169266, 0.006544202100485563, 0.005567081272602081]"
8,"[0.026664752513170242, 0.0015317213255912066, 0.9907455444335938, 0.008229817263782024]"
9,"[0.22577716410160065, 0.001255492214113474, 0.9778739809989929, 0.002230820944532752]"
10,"[0.006585113238543272, 0.007049147970974445, 0.9982574582099915, 0.006834864150732756]"
11,"[0.16490857303142548, 0.0058471267111599445, 0.9310948848724365, 0.0012537289876490831]"
12,"[0.020948778837919235, 0.0111101558431983, 0.007047218736261129, 0.9978609681129456]"
13,"[0.004820589907467365, 0.9980936646461487, 0.001743594417348504, 0.03052940033376217]"
14,"[0.004185508005321026, 0.10484736412763596, 0.009341660887002945, 0.9967615008354187]"
15,"[0.008698711171746254, 0.03883615881204605, 0.006606170441955328, 0.9978544116020203]"
16,"[0.9992351531982422, 0.009840420447289944, 0.006034637335687876, 0.007540718652307987]"
17,"[0.5049250721931458, 0.8026672005653381, 0.00011943001300096512, 0.8058315515518188]"
18,"[0.010124828666448593, 0.015271083451807499, 0.01491661835461855, 0.9982345104217529]"
19,"[0.39272844791412354, 0.009283450432121754, 0.0014191408408805728, 0.954981803894043]"
20,"[0.0024524936452507973, 0.006715166848152876, 0.12188070267438889, 0.9909634590148926]"
21,"[0.013926849700510502, 0.03680657967925072, 0.007170605473220348, 0.998764157295227]"
22,"[0.009431615471839905, 0.010307546705007553, 0.015431961975991726, 0.9976691603660583]"
23,"[0.000759252579882741, 0.8920125365257263, 0.01055037509649992, 0.4296693205833435]"
24,"[0.0035209632478654385, 0.017651308327913284, 0.022261574864387512, 0.9953912496566772]"
25,"[0.04526161029934883, 0.7239107489585876, 0.0002513767685741186, 0.6415601372718811]"
26,"[0.5860776305198669, 0.0030285087414085865, 0.0032820263877511024, 0.9705404043197632]"
27,"[0.024007724598050117, 0.011945643462240696, 0.008628349751234055, 0.9979695677757263]"
28,"[0.8685087561607361, 0.0037024901248514652, 0.0016994104953482747, 0.5765589475631714]"
29,"[0.6508257985115051, 0.01583411544561386, 0.0004661616694647819, 0.9729015231132507]"
30,"[0.007888793013989925, 0.004704630933701992, 0.9972056746482849, 0.00935475341975689]"
31,"[0.013335784897208214, 0.014160544611513615, 0.01195679884403944, 0.9979172348976135]"
32,"[0.012273108586668968, 0.020472578704357147, 0.009586982429027557, 0.9985462427139282]"
33,"[0.0027025509625673294, 0.9942230582237244, 0.001907205325551331, 0.10983697324991226]"
34,"[0.17188474535942078, 0.9584988951683044, 0.001917811343446374, 0.9346417784690857]"
35,"[0.0071912785060703754, 0.005771180149167776, 0.9980660080909729, 0.0072344038635492325]"
36,"[0.006948814727365971, 0.007684672251343727, 0.99835205078125, 0.006692274007946253]"
37,"[0.99891197681427, 0.018776342272758484, 0.004908264614641666, 0.00982807856053114]"
38,"[0.004065281245857477, 0.9990394711494446, 0.006804195232689381, 0.0061422595754265785]"
39,"[0.9988081455230713, 0.02966226078569889, 0.0039028760511428118, 0.0032573335338383913]"
40,"[0.008864196017384529, 0.9989694356918335, 0.0038418248295783997, 0.02891821227967739]"
41,"[0.9982764720916748, 0.39940544962882996, 0.003885330632328987, 0.03658900782465935]"
42,"[0.004837137181311846, 0.9990291595458984, 0.0056863571517169476, 0.007018717937171459]"
43,"[0.00659034913405776, 0.9990760087966919, 0.0045850081369280815, 0.009348975494503975]"
44,"[0.012315817177295685, 0.9990906715393066, 0.004642218351364136, 0.004476228263229132]"
45,"[0.008864196017384529, 0.9989694356918335, 0.0038418248295783997, 0.02891821227967739]"
46,"[0.006044409703463316, 0.9983665347099304, 0.007319989148527384, 0.003368598408997059]"
47,"[0.004373862408101559, 0.9991604089736938, 0.005773930344730616, 0.006923228967934847]"
48,"[0.08945798128843307, 0.9959393739700317, 0.0016276203095912933, 0.0037822758313268423]"
49,"[0.9977807402610779, 0.27100056409835815, 0.0010895852465182543, 0.01324665267020464]"
50,"[0.9967052340507507, 0.0015673671150580049, 0.07292348146438599, 0.0026471447199583054]"
51,"[0.005719419568777084, 0.0063201384618878365, 0.9977883100509644, 0.00985206663608551]"
52,"[0.005618078168481588, 0.9989350438117981, 0.0039149741642177105, 0.008273733779788017]"
53,"[0.9989458918571472, 0.00874094944447279, 0.00754196010529995, 0.009594709612429142]"
54,"[0.004264401737600565, 0.9989545345306396, 0.006323026493191719, 0.006183224730193615]"
55,"[0.008864196017384529, 0.9989694356918335, 0.0038418248295783997, 0.02891821227967739]"
56,"[0.0035229495260864496, 0.9985895752906799, 0.003923074807971716, 0.014146167784929276]"
57,"[0.004504133481532335, 0.9991315007209778, 0.00631409278139472, 0.006669001188129187]"
58,"[0.018210094422101974, 0.24050958454608917, 0.001322091557085514, 0.988482654094696]"
59,"[0.9989493489265442, 0.009142179042100906, 0.005831844173371792, 0.004750483203679323]"
60,"[0.9833816289901733, 0.040248073637485504, 0.00033155508572235703, 0.5451555252075195]"
61,"[0.005047659855335951, 0.9990962743759155, 0.004759762901812792, 0.012740000151097775]"
62,"[0.004118731245398521, 0.9990372657775879, 0.005880179349333048, 0.006848151329904795]"
63,"[0.0070322598330676556, 0.9990662932395935, 0.006161655765026808, 0.00579792121425271]"
